主容器,立式容器,0.5℃,0.78MPa,试验压力0.78MPa，总容积2.6m3,2018/9/1,"中科院上海应用物理研究所,上海电气核电设备有限公司,上海电气电站设备有限公司,南京宝色股份有限公司"
熔盐储罐,卧式压力容器,650℃,0.5MPa,容积2m3，类别Ⅰ类,2018/8/1,中科院上海应用物理研究所，嘉兴嘉诚动能设备有限公司
熔盐储罐,卧式压力容器,650℃,0.5MPa,容积1m3，类别Ⅰ类,2018/8/1,中科院上海应用物理研究所，嘉兴嘉诚动能设备有限公司
冷冻阀,感应加热式冷冻阀,700℃,0.5MPa,关闭时间900s，开启时间180s,2018/9/1,中科院上海应用物理研究所，上海电气凯士比核电泵阀有限公司
熔盐-熔盐换热器,卧式管壳式换热器（U形管）,700℃,0.5MPa,换热功率2MW,2018/10/1,中科院上海应用物理研究所，上海电站辅机厂有限公司
熔盐-空气换热器,S型换热管,650℃,0.5MPa,换热功率2MW,2018/10/1,中科院上海应用物理研究所，上海电站辅机厂有限公司
主循环泵  熔盐一回路,立式悬臂液下离心式,700℃,0.5MPa,流量15m3/h，扬程9m，功率4KW，转速1450 rpm,2018/6/1,中科院上海应用物理研究所，桂林广汇泵业有限责任公司
主循环泵  熔盐二回路,立式悬臂液下离心式,700℃,0.5MPa,流量22m3/h，扬程14.5m，功率7.5KW，转速1450 rpm,2018/6/1,中科院上海应用物理研究所，桂林广汇泵业有限责任公司
非能动余热排出系统,环腔式,650℃,常压,主体材料316L，工作介质空气，换热功率13.7KW,2018/5/1,中科院上海应用物理研究所 ，中国商用飞机有限责任公司上海飞机制造有限公司
堆舱,立式常压容器,≤70℃,0.09MPa,泄漏率100%/24h，主体材料Q345R，总容积58m3,2018/9/1,"中科院上海应用物理研究所 ,上海日金机械有限公司"
,,,,,,
