BY01AX001,PM1-1目标温度
BY01AX002,PM1-1保护温度
BY01AX003,PM1-1功率设定反馈值
BY01AX004,PM1-2目标温度
BY01AX005,PM1-2保护温度
BY01AX006,PM1-2功率设定反馈值
BY01AX007,PM1-3目标温度
BY01AX008,PM1-3保护温度
BY01AX009,PM1-3功率设定反馈值
BY01AX010,PM1-4目标温度
BY01AX011,PM1-4保护温度
BY01AX012,PM1-4功率设定反馈值
BY01AX013,PM1-5目标温度
BY01AX014,PM1-5保护温度
BY01AX015,PM1-5功率设定反馈值
BY01AX016,PM1-6目标温度
BY01AX017,PM1-6保护温度
BY01AX018,PM1-6功率设定反馈值
BY01AX019,PM1-7目标温度
BY01AX020,PM1-7保护温度
BY01AX021,PM1-7功率设定反馈值
BY01AX022,PM1-8目标温度
BY01AX023,PM1-8保护温度
BY01AX024,PM1-8功率设定反馈值
BY01AX025,PM1-9目标温度
BY01AX026,PM1-9保护温度
BY01AX027,PM1-9功率设定反馈值
BY01AX028,PM1-10目标温度
BY01AX029,PM1-10保护温度
BY01AX030,PM1-10功率设定反馈值
BY01AX031,PM1-11目标温度
BY01AX032,PM1-11保护温度
BY01AX033,PM1-11功率设定反馈值
BY01AX034,PM1-12目标温度
BY01AX035,PM1-12保护温度
BY01AX036,PM1-12功率设定反馈值
BY01AX037,PM1-13目标温度
BY01AX038,PM1-13保护温度
BY01AX039,PM1-13功率设定反馈值
BY01AX040,二回路泵罐保温层壁面温度5
BY01AX041,二回路泵罐保温层壁面温度6
BY01AX042,双熔盐换热器外壁热电耦7
BY01AX043,双熔盐换热器外壁热电耦8
BY01AX044,管道保温层壁面温度9
BY01AX045,PL1-1目标温度
BY01AX046,PL1-1保护温度
BY01AX047,PL1-1功率设定反馈值
BY01AX048,PL1-2目标温度
BY01AX049,PL1-2保护温度
BY01AX050,PL1-2功率设定反馈值
BY01AX051,PL1-3目标温度
BY01AX052,PL1-3保护温度
BY01AX053,PL1-3功率设定反馈值
BY01AX054,PL1-4目标温度
BY01AX055,PL1-4保护温度
BY01AX056,PL1-4设定反馈值
BY01AX057,PL1-5目标温度
BY01AX058,PL1-5保护温度
BY01AX059,PL1-5功率设定反馈值
BY01AX060,PL1-6目标温度
BY01AX061,PL1-6保护温度
BY01AX062,PL1-6功率设定反馈值
BY01AX063,PL1-7目标温度
BY01AX064,PL1-7保护温度
BY01AX065,PL1-7功率设定反馈值
BY01AX066,一回路泵主法兰温度监测1
BY01AX067,一回路泵主法兰温度监测2
BY01AX068,一回路流量计温度监测1
BY01AX069,一回路流量计温度监测2
BY01AX070,一回路泵罐下封头温度监测1
BY01AX071,一回路泵罐下封头温度监测2
BY01AX072,一回路泵罐下封头温度监测3
BY01AX073,一回路泵罐下封头温度监测4
BY01AX074,一回路泵罐下封头温度监测5
BY01AX075,一回路泵罐下封头温度监测6
BY01AX076,一回路泵罐上封头温度监测1
BY01AX077,一回路泵罐上封头温度监测2
BY01AX078,一回路泵罐上封头温度监测3
BY01AX079,一回路泵罐上封头温度监测4
BY01AX080,一回路泵罐内插1
BY01AX081,一回路泵罐内插2
BY01AX082,一回路泵罐内插3
BY01AX083,一回路泵罐内插4
BY01AX084,泵保温层外壁温度1
BY01AX085,泵保温层外壁温度2
BY01AX086,一回路TAM1-3保温层外壁温度9
BY01AX087,一回路管道差压测量dP4
BY01AX088,一回路管道差压测量dP5
BY01AX089,一回路管道'压力测量P1
BY01AX090,一回路管道压力测量P2
BY01AX091,一回路管道熔盐流量F1
BY01AX092,双熔盐换热器加热1目标温度
BY01AX093,双熔盐换热器加热1保护温度
BY01AX094,双熔盐换热器加热1功率设定反馈值
BY01AX095,双熔盐换热器加热2目标温度
BY01AX096,双熔盐换热器加热2保护温度
BY01AX097,双熔盐换热器加热3目标温度
BY01AX098,双熔盐换热器加热3保护温度
BY01AX099,反应堆出口熔盐流量
BY01AX100,一回路冷冻阀01露点温度检测01
BY01AX101,一回路冷冻阀01露点温度检测02
BY01AX102,一回路冷冻阀01露点温度检测03
BY01AX103,一回路冷冻阀01露点温度检测04
