BY01DX001,启动控制反馈:PM1-1
BY01DX002,启动控制反馈:PM1-2
BY01DX003,启动控制反馈:PM1-3
BY01DX004,启动控制反馈:PM1-4
BY01DX005,启动控制反馈:PM1-5
BY01DX006,启动控制反馈:PM1-6
BY01DX007,启动控制反馈:PM1-7
BY01DX008,启动控制反馈:PM1-8
BY01DX009,启动控制反馈:PM1-9
BY01DX010,启动控制反馈:PM1-10
BY01DX011,启动控制反馈:PM1-11
BY01DX012,启动控制反馈:PM1-12
BY01DX013,启动控制反馈:PM1-13
BY01DX014,启动控制反馈:双熔盐换热器
BY01DX015,启动控制反馈:PL1-1
BY01DX016,启动控制反馈:PL1-2
BY01DX017,启动控制反馈:PL1-3
BY01DX018,启动控制反馈:一回路流量计伴热
BY01DX019,启动控制反馈:PL1-5
BY01DX020,启动控制反馈:PL1-6
BY01DX021,启动控制反馈:PL1-7
BY01DX022,负载运行状态:PM1-1
BY01DX023,可控硅故障:PM1-1
BY01DX024,上电备妥:PM1-1
BY01DX025,负载运行状态:PM1-2
BY01DX026,可控硅故障:PM1-2
BY01DX027,上电备妥:PM1-2
BY01DX028,负载运行状态:PM1-3
BY01DX029,可控硅故障:PM1-3
BY01DX030,上电备妥:PM1-3
BY01DX031,负载运行状态:PM1-4
BY01DX032,可控硅故障:PM1-4
BY01DX033,上电备妥:PM1-4
BY01DX034,负载运行状态:PM1-5
BY01DX035,可控硅故障:PM1-5
BY01DX036,上电备妥:PM1-5
BY01DX037,负载运行状态:PM1-6
BY01DX038,可控硅故障:PM1-6
BY01DX039,上电备妥:PM1-6
BY01DX040,负载运行状态:PM1-7
BY01DX041,可控硅故障:PM1-7
BY01DX042,上电备妥:PM1-7
BY01DX043,负载运行状态:PM1-8
BY01DX044,可控硅故障:PM1-8
BY01DX045,上电备妥:PM1-8
BY01DX046,负载运行状态:PM1-9
BY01DX047,可控硅故障:PM1-9
BY01DX048,上电备妥:PM1-9
BY01DX049,负载运行状态:PM1-10
BY01DX050,可控硅故障:PM1-10
BY01DX051,上电备妥:PM1-10
BY01DX052,负载运行状态:PM1-11
BY01DX053,可控硅故障:PM1-11
BY01DX054,上电备妥:PM1-11
BY01DX055,负载运行状态:PM1-12
BY01DX056,可控硅故障:PM1-12
BY01DX057,上电备妥:PM1-12
BY01DX058,负载运行状态:PM1-13
BY01DX059,可控硅故障:PM1-13
BY01DX060,上电备妥:PM1-13
BY01DX061,一回路泵罐热电偶式液位1
BY01DX062,一回路泵罐热电偶式液位2
BY01DX063,一回路泵罐热电偶式液位3
BY01DX064,一回路泵罐热电偶式液位4
BY01DX065,一回路泵罐热电偶式液位5
BY01DX066,一回路泵罐热电偶式液位6
BY01DX067,一回路泵罐热电偶式液位7
BY01DX068,负载运行状态:双熔盐换热器
BY01DX069,可控硅故障:双熔盐换热器
BY01DX070,上电备妥:双熔盐换热器
BY01DX071,负载运行状态:PL1-1
BY01DX072,可控硅故障:PL1-1
BY01DX073,上电备妥:PL1-1
BY01DX074,负载运行状态:PL1-2
BY01DX075,可控硅故障:PL1-2
BY01DX076,上电备妥:PL1-2
BY01DX077,负载运行状态:PL1-3
BY01DX078,可控硅故障:PL1-3
BY01DX079,上电备妥:PL1-3
BY01DX080,负载运行状态:一回路流量计伴热
BY01DX081,可控硅故障:一回路流量计伴热
BY01DX082,上电备妥:一回路流量计伴热
BY01DX083,负载运行状态:PL1-5
BY01DX084,可控硅故障:PL1-5
BY01DX085,上电备妥:PL1-5
BY01DX086,负载运行状态:PL1-6
BY01DX087,可控硅故障:PL1-6
BY01DX088,上电备妥:PL1-6
BY01DX089,负载运行状态:PL1-7
BY01DX090,可控硅故障:PL1-7
BY01DX091,上电备妥:PL1-7
BY01DX092,超温报警反馈:PM1-1
BY01DX093,超温报警反馈:PM1-2
BY01DX094,超温报警反馈:PM1-3
BY01DX095,超温报警反馈:PM1-4
BY01DX096,超温报警反馈:PM1-5
BY01DX097,超温报警反馈:PM1-6
BY01DX098,超温报警反馈:PM1-7
BY01DX099,超温报警反馈:PM1-8
BY01DX100,超温报警反馈:PM1-9
BY01DX101,超温报警反馈:PM1-10
BY01DX102,超温报警反馈:PM1-11
BY01DX103,超温报警反馈:PM1-12
BY01DX104,超温报警反馈:PM1-13
BY01DX105,超温报警反馈:双熔盐换热器
BY01DX106,超温报警反馈:PL1-1
BY01DX107,超温报警反馈:PL1-2
BY01DX108,超温报警反馈:PL1-3
BY01DX109,超温报警反馈:PL1-4
BY01DX110,超温报警反馈:PL1-5
BY01DX111,超温报警反馈:PL1-6
BY01DX112,超温报警反馈:PL1-7
BY01DX113,备用
BY01DX114,一号柜XCU状态
BY01DX115,一号柜XCU-A状态
BY01DX116,一号柜XCU-B状态
BY01DX117,一号柜NET状态
BY01DX118,备用
BY01DX119,备用
BY01DX120,备用
BY01DX121,备用
BY01DX122,备用
BY01DX123,备用
BY01DX124,备用
BY01DX125,备用
BY01DX126,备用
BY01DX127,备用
BY01DX128,备用
BY01DX129,备用
BY01DX130,备用
BY01DX131,备用
BY01DX132,备用
BY01DX133,备用
BY01DX134,备用
BY01DX135,备用
BY01DX136,备用
BY01DX137,备用
BY01DX138,备用
BY01DX139,备用
BY01DX140,备用
BY01DX141,备用
BY01DX142,备用
BY01DX143,备用
BY01DX144,备用
BY01DX145,备用
BY01DX146,备用
BY01DX147,备用
BY01DX148,备用
BY01DX149,备用
BY01DX150,备用
BY01DX151,备用
BY01DX152,备用
BY01DX153,备用
BY01DX154,备用
BY01DX155,备用
BY01DX156,备用
BY01DX157,备用
BY01DX158,备用
BY01DX159,备用
BY01DX160,备用
BY01DX161,备用
BY01DX162,备用
BY01DX163,备用
BY01DX164,备用
BY01DX165,备用
BY01DX166,备用
BY01DX167,备用
BY01DX168,备用
BY01DX169,备用
BY01DX170,备用
BY01DX171,备用
BY01DX172,备用
BY01DX173,备用
BY01DX174,备用
BY01DX175,备用
BY01DX176,备用
BY01DX177,备用
BY01DX178,备用
BY01DX179,备用
BY01DX180,备用
BY01DX181,备用
BY01DX182,备用
BY01DX183,备用
BY01DX184,备用
BY01DX185,备用
BY01DX186,备用
BY01DX187,备用
BY01DX188,备用
BY01DX189,备用
BY01DX190,备用
BY01DX191,备用
BY01DX192,备用
BY01DX193,备用
BY01DX194,备用
BY01DX195,备用
BY01DX196,备用
BY01DX197,备用
BY01DX198,备用
BY01DX199,备用
BY01DX200,备用
BY01DX201,备用
BY01DX202,备用
BY01DX203,备用
BY01DX204,备用
BY01DX205,备用
BY01DX206,备用
BY01DX207,备用
BY01DX208,备用
BY01DX209,备用
BY01DX210,备用
BY01DX211,备用
BY01DX212,备用
BY01DX213,备用
BY01DX214,备用
BY01DX215,备用
BY01DX216,备用
BY01DX217,备用
BY01DX218,备用
BY01DX219,备用
BY01DX220,备用
BY01DX221,备用
BY01DX222,备用
BY01DX223,备用
BY01DX224,备用
BY01DX225,备用
BY01DX226,备用
BY01DX227,备用
BY01DX228,备用
BY01DX229,备用
BY01DX230,备用
BY01DX231,备用
BY01DX232,备用
BY01DX233,备用
BY01DX234,备用
BY01DX235,备用
BY01DX236,备用
BY01DX237,备用
BY01DX238,备用
BY01DX239,备用
BY01DX240,备用
BY01DX241,备用
BY01DX242,备用
BY01DX243,备用
BY01DX244,备用
BY01DX245,备用
BY01DX246,备用
BY01DX247,备用
BY01DX248,备用
BY01DX249,备用
BY01DX250,备用
BY01DX251,备用
BY01DX252,备用
BY01DX253,备用
BY01DX254,备用
BY01DX255,备用
BY01DX256,备用
BY01DX257,备用
