PointName,PointDesp
BY01DY001,启动控制PM1-1
BY01DY002,超温复位PM1-1
BY01DY003,启动控制PM1-2
BY01DY004,超温复位PM1-2
BY01DY005,启动控制PM1-3
BY01DY006,超温复位PM1-3
BY01DY007,启动控制PM1-4
BY01DY008,超温复位PM1-4
BY01DY009,启动控制PM1-5
BY01DY010,超温复位PM1-5
BY01DY011,启动控制PM1-6
BY01DY012,超温复位PM1-6
BY01DY013,启动控制PM1-7
BY01DY014,超温复位PM1-7
BY01DY015,启动控制PM1-8
BY01DY016,超温复位PM1-8
BY01DY017,启动控制PM1-9
BY01DY018,超温复位PM1-9
BY01DY019,启动控制PM1-10
BY01DY020,超温复位PM1-10
BY01DY021,启动控制PM1-11
BY01DY022,超温复位PM1-11
BY01DY023,启动控制PM1-12
BY01DY024,超温复位PM1-12
BY01DY025,启动控制PM1-13
BY01DY026,超温复位PM1-13
BY01DY027,启动控制—双熔盐换热器
BY01DY028,超温复位—双熔盐换热器
BY01DY029,启动控制PL1-1
BY01DY030,超温复位PL1-1
BY01DY031,启动控制PL1-2
BY01DY032,超温复位PL1-2
BY01DY033,启动控制PL1-3
BY01DY034,超温复位PL1-3
BY01DY035,启动控制PL1-4
BY01DY036,超温复位PL1-4
BY01DY037,启动控制PL1-5
BY01DY038,超温复位PL1-5
BY01DY039,启动控制PL1-6
BY01DY040,超温复位PL1-6
BY01DY041,启动控制PL1-7
BY01DY042,超温复位PL1-7
BY01DY043,备用
BY01DY044,备用
BY01DY045,备用
BY01DY046,备用
BY01DY047,备用
BY01DY048,备用
BY01DY049,备用
BY01DY050,备用
BY02DY001,启动控制PL1-8
BY02DY002,超温复位PL1-8
BY02DY003,启动控制PL1-9
BY02DY004,超温复位PL1-9
BY02DY005,启动控制PL1-10
BY02DY006,超温复位PL1-10
BY02DY007,启动控制PL1-11
BY02DY008,超温复位PL1-11
BY02DY009,启动控制PL1-12
BY02DY010,超温复位PL1-12
BY02DY011,启动控制PL1-13
BY02DY012,超温复位PL1-13
BY02DY013,启动控制PL1-14
BY02DY014,超温复位PL1-14
BY02DY015,启动控制PL1-15
BY02DY016,超温复位PL1-15
BY02DY017,启动控制PL1-16
BY02DY018,超温复位PL1-16
BY02DY019,启动控制PL1-17
BY02DY020,超温复位PL1-17
BY02DY021,启动控制PL1-18
BY02DY022,超温复位PL1-18
BY02DY023,启动控制PL1-19
BY02DY024,超温复位PL1-19
BY02DY025,启动控制PL1-20
BY02DY026,超温复位PL1-20
BY02DY027,启动控制PL1-21
BY02DY028,超温复位PL1-21
BY02DY029,启动控制PL1-22
BY02DY030,超温复位PL1-22
BY02DY031,启动控制PL1-23
BY02DY032,超温复位PL1-23
BY02DY033,启动控制PL1-24
BY02DY034,超温复位PL1-24
BY02DY035,启动控制PL1-25
BY02DY036,超温复位PL1-25
BY02DY037,一回路储罐01-启动控制
BY02DY038,一回路储罐01-超温复位
BY02DY039,一回路储罐02-启动控制
BY02DY040,一回路储罐02-超温复位
BY02DY041,一回路储罐03-启动控制
BY02DY042,一回路储罐03-超温复位
BY02DY043,一回路泵罐01-启动控制
BY02DY044,一回路泵罐01-超温复位
BY02DY045,一回路泵罐02-启动控制
BY02DY046,一回路泵罐02-超温复位
BY02DY047,一回路泵罐03-启动控制
BY02DY048,一回路泵罐03-超温复位
BY02DY049,备用
BY02DY050,备用
BY03DY001,启动控制PM2-1
BY03DY002,超温复位PM2-1
