pwm1_1:alarm,PWM1_1报警状态
pwm1_1:ctl,PWM1_1运行状态
pwm1_1:dig_in,PWM1_1电源状态输入
pwm1_1:dig_out,未用
pwm1_1:err_cmd,未用
pwm1_1:err_len,未用
pwm1_1:in_U,PWM1_1接入母排电压
pwm1_1:in_mask,未用
pwm1_1:index,PWM1_1设备ID
pwm1_1:load_C,PWM1_1负载电流
pwm1_1:load_U,PWM1_1负载电压
pwm1_1:max_ref_C,PWM1_1最大设定电流
pwm1_1:min_ref_C,PWM1_1最小设定电流
pwm1_1:out_mask,未用
pwm1_1:ref_C,PWM1_1电流设定值
pwm1_1:ref_C_Filter,未用
pwm1_1:temp,PWM1_1电源温度反馈
pwm2_2:alarm,未用
pwm2_2:ctl,未用
pwm2_2:dig_in,未用
pwm2_2:dig_out,未用
pwm2_2:err_cmd,未用
pwm2_2:err_len,未用
pwm2_2:in_U,未用
pwm2_2:in_mask,未用
pwm2_2:index,未用
pwm2_2:load_C,未用
pwm2_2:load_U,未用
pwm2_2:max_ref_C,未用
pwm2_2:min_ref_C,未用
pwm2_2:out_mask,未用
pwm2_2:ref_C,未用
pwm2_2:ref_C_Filter,未用
pwm2_2:temp,未用
pwm2_3:alarm,未用
pwm2_3:ctl,未用
pwm2_3:dig_in,未用
pwm2_3:dig_out,未用
pwm2_3:err_cmd,未用
pwm2_3:err_len,未用
pwm2_3:in_U,未用
pwm2_3:in_mask,未用
pwm2_3:index,未用
pwm2_3:load_C,未用
pwm2_3:load_U,未用
pwm2_3:max_ref_C,未用
pwm2_3:min_ref_C,未用
pwm2_3:out_mask,未用
pwm2_3:ref_C,未用
pwm2_3:ref_C_Filter,未用
pwm2_3:temp,未用
pwm2_6:alarm,未用
pwm2_6:ctl,未用
pwm2_6:dig_in,未用
pwm2_6:dig_out,未用
pwm2_6:err_cmd,未用
pwm2_6:err_len,未用
pwm2_6:in_U,未用
pwm2_6:in_mask,未用
pwm2_6:index,未用
pwm2_6:load_C,未用
pwm2_6:load_U,未用
pwm2_6:max_ref_C,未用
pwm2_6:min_ref_C,未用
pwm2_6:out_mask,未用
pwm2_6:ref_C,未用
pwm2_6:ref_C_Filter,未用
pwm2_6:temp,未用
pwm3_3:alarm,未用
pwm3_3:ctl,未用
pwm3_3:dig_in,未用
pwm3_3:dig_out,未用
pwm3_3:err_cmd,未用
pwm3_3:err_len,未用
pwm3_3:in_U,未用
pwm3_3:in_mask,未用
pwm3_3:index,未用
pwm3_3:load_C,未用
pwm3_3:load_U,未用
pwm3_3:max_ref_C,未用
pwm3_3:min_ref_C,未用
pwm3_3:out_mask,未用
pwm3_3:ref_C,未用
pwm3_3:ref_C_Filter,未用
pwm3_3:temp,未用
pwm3_4:alarm,未用
pwm3_4:ctl,未用
pwm3_4:dig_in,未用
pwm3_4:dig_out,未用
pwm3_4:err_cmd,未用
pwm3_4:err_len,未用
pwm3_4:in_U,未用
pwm3_4:in_mask,未用
pwm3_4:index,未用
pwm3_4:load_C,未用
pwm3_4:load_U,未用
pwm3_4:max_ref_C,未用
pwm3_4:min_ref_C,未用
pwm3_4:out_mask,未用
pwm3_4:ref_C,未用
pwm3_4:ref_C_Filter,未用
pwm3_4:temp,未用
pwmC02:alarm,未用
pwmC02:ctl,未用
pwmC02:dig_in,未用
pwmC02:dig_out,未用
pwmC02:err_cmd,未用
pwmC02:err_len,未用
pwmC02:in_U,未用
pwmC02:in_mask,未用
pwmC02:index,未用
pwmC02:load_C,未用
pwmC02:load_U,未用
pwmC02:max_ref_C,未用
pwmC02:min_ref_C,未用
pwmC02:out_mask,未用
pwmC02:ref_C,未用
pwmC02:ref_C_Filter,未用
pwmC02:temp,未用
pwm1_1:ctl_set,未用
pwm1_1:current_set,未用
pwm2_2:ctl_set,未用
pwm2_2:current_set,未用
pwm2_3:ctl_set,未用
pwm2_3:current_set,未用
pwm2_6:ctl_set,未用
pwm2_6:current_set,未用
pwm3_3:ctl_set,未用
pwm3_3:current_set,未用
pwm3_4:ctl_set,未用
pwm3_4:current_set,未用
pwmC02:ctl_set,未用
pwm1_1,未用
pwm2_2,未用
pwm2_3,未用
pwm2_6,未用
pwm3_3,未用
pwm3_4,未用
pwmC02,未用
